,Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
417,7359,7359,8404753.jpg#1r1e,entailment,A man is putting on a yellow necktie while another man stands to his right side watching him.,a man puts on a tie,"""Puts on a tie"" is a rephrasing of ""putting on a yellow necktie.""", A man is *putting* *on* *a* *yellow* *necktie* while another man stands to his right side watching him., a man *puts* *on* *a* *tie*,A man puts on a tie is a simplification of a man is putting on a yellow necktie., A *man* is putting on a *yellow* *necktie* while another man stands to his right side watching him., a man puts on a tie,A necktie is a type of tie to put on., A man is *putting* *on* a yellow *necktie* while another man stands to his right side watching him., a man *puts* *on* *a* *tie*,"['putting', 'on', 'a', 'yellow', 'necktie']","['puts', 'on', 'a', 'tie']","['man', 'yellow', 'necktie']",[],"['putting', 'on', 'necktie']","['puts', 'on', 'a', 'tie']",classification,3
427,7499,7499,3495490064.jpg#2r1e,entailment,the man in jeans is sitting by the river with large fish.,A person is outside sitting by a body of water.,"Man is person, and river is body of water.", the *man* in jeans is sitting by the *river* with large fish., A *person* is outside sitting by a *body* *of* *water.*,A river is a type of body of water., the man in jeans is *sitting* *by* *the* *river* with large fish., A person is outside *sitting* *by* *a* *body* *of* *water.*,A river is a body of water., the man in jeans is sitting by the *river* with large fish., A person is outside sitting by a *body* *of* *water.*,"['man', 'river']","['person', 'body', 'of', 'water.']","['sitting', 'by', 'the', 'river']","['sitting', 'by', 'a', 'body', 'of', 'water.']",['river'],"['body', 'of', 'water.']",classification,2
442,7715,7715,3925836925.jpg#1r1e,entailment,"His back facing us, a young man photographs a lovely mountain lake scene under a hazy sky.",A young man photographs a mountain lake scene.,A mountain lake scene is used in the same manner.," His back facing us, a young man photographs a lovely *mountain* *lake* *scene* under a hazy sky.", A young man photographs a *mountain* *lake* *scene.*,a young man photographs a mountain lake scene is the inference.," His back facing us, a young man *photographs* *a* *lovely* *mountain* *lake* *scene* under a hazy sky.", A young man *photographs* *a* *mountain* *lake* *scene.*,Lovely mountain lake is a type of mountain lake.," His back facing us, a young man photographs a *lovely* *mountain* *lake* scene under a hazy sky.", A young man photographs a *mountain* *lake* scene.,"['mountain', 'lake', 'scene']","['mountain', 'lake', 'scene.']","['photographs', 'a', 'lovely', 'mountain', 'lake', 'scene']","['photographs', 'a', 'mountain', 'lake', 'scene.']","['lovely', 'mountain', 'lake']","['mountain', 'lake']",classification,3
462,8053,8053,244829722.jpg#2r1n,entailment,A young woman rides by herself on a swinging carnival ride.,A woman is enjoying herself.,Rides carnival ride shows enjoying herself., A young woman *rides* by herself on a swinging *carnival* *ride.*, A woman is *enjoying* *herself.*,"Carnivals are designed for fun, and being on a carnival ride implies having fun—i.e. enjoying oneself.", A young woman rides by herself on a swinging *carnival* *ride.*, A woman is *enjoying* *herself.*,"Young woman is type of woman, and swinging implies enjoying.", A *young* *woman* rides by herself on a *swinging* carnival ride., A *woman* is *enjoying* herself.,"['rides', 'carnival', 'ride.']","['enjoying', 'herself.']","['carnival', 'ride.']","['enjoying', 'herself.']","['young', 'woman', 'swinging']","['woman', 'enjoying']",classification,3
478,8292,8292,7610925230.jpg#0r1e,entailment,"Three middle-age women are on a stage, one singing and the other two cheerleading in blue uniforms.",Three women are on stage.,there are two cheerleading and the one singing would equal three women," Three middle-age women are on a stage, *one* *singing* and the other *two* *cheerleading* in blue uniforms.", *Three* *women* are on stage.,Middle-age women are a type of women.," Three *middle-age* *women* are on a stage, one singing and the other two cheerleading in blue uniforms.", Three *women* are on stage.,The first sentence is a more descriptive way of stating that three women are on the stage.," *Three* middle-age *women* are *on* *a* *stage,* one singing and the other two cheerleading in blue uniforms.", *Three* *women* *are* *on* *stage.*,"['one', 'singing', 'two', 'cheerleading']","['Three', 'women']","['middle-age', 'women']",['women'],"['Three', 'women', 'on', 'a', 'stage']","['Three', 'women', 'are', 'on', 'stage.']",classification,2
490,8505,8505,4672131242.jpg#4r1e,entailment,A man in a black shirt is standing behind a blue SUV.,A person is next to a car,A man is a type of person. Standing behind can be considered standing next to. An SUV is a type of car., *A* *man* in a black shirt is *standing* *behind* a blue *SUV.*, A *person* is *next* to a *car*,"Man is a person, and blue SUV is a type of car.", A *man* in a black shirt is standing behind a *blue* *SUV.*, A *person* is next to a *car*,An SUV is a car., A man in a black shirt is standing behind a blue *SUV.*, A person is next to a *car*,"['A', 'man', 'standing', 'behind', 'SUV.']","['person', 'next', 'car']","['man', 'blue', 'SUV.']","['person', 'car']",['SUV.'],['car'],classification,"1,2"
491,8519,8519,3183195653.jpg#0r1e,entailment,The brightly dressed middle eastern women are conversing in the market.,The women are brightly dressed,Brightly dressed middle eastern women are a type of women., The *brightly* *dressed* *middle* *eastern* *women* are conversing in the market., The *women* are brightly dressed,Women are dressed and conversing in the market., The brightly dressed middle eastern women are *conversing* in the *market.*, The *women* *are* brightly *dressed*,"If the women are brightly dressed, they are brightly dressed women.", The *brightly* *dressed* middle eastern *women* are conversing in the market., The *women* are *brightly* *dressed*,"['brightly', 'dressed', 'middle', 'eastern', 'women']",['women'],"['conversing', 'market.']","['women', 'are', 'dressed']","['brightly', 'dressed', 'women']","['women', 'brightly', 'dressed']",classification,1
501,8666,8666,539751252.jpg#0r1e,entailment,A young boy wearing blue shorts is splashing is a blue kiddie pool.,The young boy is wet.,if someone is in a pool they are wet., A young boy wearing blue shorts is splashing is a blue kiddie *pool.*, The young boy is *wet.*,Splashing in a pool implies being wet., A young boy wearing blue shorts is *splashing* is a blue kiddie *pool.*, The young boy is *wet.*,"Young boy wearing blue shorts is a type of young boy, and splashing implies wet.", A *young* *boy* *wearing* *blue* *shorts* is *splashing* is a blue kiddie pool., The *young* *boy* is *wet.*,['pool.'],['wet.'],"['splashing', 'pool.']",['wet.'],"['young', 'boy', 'wearing', 'blue', 'shorts', 'splashing']","['young', 'boy', 'wet.']",classification,3
520,8950,8950,3527926597.jpg#3r1e,entailment,A boy on a skateboard ramp.,There is a boy on a ramp,Skateboard ramp is a form of ramp., A boy on a *skateboard* *ramp.*, There is a boy on a *ramp*,A BOY SKATEBOARDS ON A RAMP, A *boy* on a *skateboard* ramp., There is a boy on a *ramp*,Skating is done on a ramp., A boy on a skateboard *ramp.*, There is a boy on a *ramp*,"['skateboard', 'ramp.']",['ramp'],"['boy', 'skateboard']",['ramp'],['ramp.'],['ramp'],classification,1
521,8961,8961,3089862485.jpg#0r1e,entailment,A man on stage holds a hello kitty guitar and looks to the right of the picture.,The man is holding an instrument in his hands.,A guitar is a type of instrument., A man on stage holds a hello kitty *guitar* and looks to the right of the picture., The man is holding an *instrument* in his hands.,"guitar is a musical instrument, which is always held in hands", A man on stage holds a *hello* *kitty* *guitar* and looks to the right of the picture., The man is holding an *instrument* in his hands.,"Man on stage is a type of man, and hello kitty guitar is a type of instrument.", A *man* *on* *stage* holds a *hello* *kitty* *guitar* and looks to the right of the picture., The *man* is holding an *instrument* in his hands.,['guitar'],['instrument'],"['hello', 'kitty', 'guitar']",['instrument'],"['man', 'on', 'stage', 'hello', 'kitty', 'guitar']","['man', 'instrument']",classification,"1,3"
534,9198,9198,5244225882.jpg#4r1e,entailment,Young man engraves Arabic writing into a stone.,Young man is engraving into a stone.,A young man that engraves Arabic writing into a stone is definitely engraving into a stone., Young man *engraves* *Arabic* *writing* *into* *a* *stone.*, Young man is *engraving* *into* *a* *stone.*,Engraves Arabic writing is a form of engraving., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,Engraves Arabic writing is a more specific type of engraving. The rest of the sentences are identical., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,"['engraves', 'Arabic', 'writing', 'into', 'a', 'stone.']","['engraving', 'into', 'a', 'stone.']","['engraves', 'Arabic', 'writing']",['engraving'],"['engraves', 'Arabic', 'writing']",['engraving'],classification,"2,3"
536,9221,9221,2724379828.jpg#1r1e,entailment,A man providing entertainment on the sidewalk by playing the violin.,A man playing the violin entertains on the sidewalk.,"Sentences are simply rearranged, both say a man on the sidewalk is playing the violin", A *man* providing entertainment on the *sidewalk* by *playing* the *violin.*, A *man* *playing* the *violin* entertains on the *sidewalk.*,"Playing the violin is a form of entertainment, and playing the violin implies entertains.", A man providing *entertainment* on the sidewalk by *playing* *the* *violin.*, A man *playing* *the* *violin* *entertains* on the sidewalk.,"If the man is providing entertainment, then he entertains.", A man *providing* *entertainment* on the sidewalk by playing the violin., A man playing the violin *entertains* on the sidewalk.,"['man', 'sidewalk', 'playing', 'violin.']","['man', 'playing', 'violin', 'sidewalk.']","['entertainment', 'playing', 'the', 'violin.']","['playing', 'the', 'violin', 'entertains']","['providing', 'entertainment']",['entertains'],classification,2
546,9362,9362,2042114239.jpg#4r1e,entailment,Two boys laying tile in a bathroom.,Some boys repair a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is also a form of work or a repair., Two boys *laying* *tile* in a bathroom., Some boys repair a bathroom.,"['laying', 'tile']",['repair'],"['laying', 'tile']",['repair'],"['laying', 'tile']",[],classification,"1,2,3"
551,9411,9411,5420765124.jpg#1r1e,entailment,A bundled up Asian girl wearing a Camelbak and walking shoes walking her dog in a snowy forest.,A girl is walking outdoors.,Bundled up a girl is walking her dog in a snowy forest., A *bundled* *up* Asian girl wearing a Camelbak and walking shoes walking *her* *dog* in a *snowy* *forest.*, *A* *girl* is *walking* outdoors.,"Bundled up Asian girl is a type of girl, and forest implies outdoors.", A *bundled* *up* *Asian* *girl* wearing a Camelbak and walking shoes walking her dog in a snowy *forest.*, A *girl* is walking *outdoors.*,The girl is Asian. The snowy forest is outdoors., A bundled up *Asian* girl wearing a Camelbak and walking shoes walking her dog in a *snowy* *forest.*, A *girl* is walking *outdoors.*,"['bundled', 'up', 'her', 'dog', 'snowy', 'forest.']","['A', 'girl', 'walking']","['bundled', 'up', 'Asian', 'girl', 'forest.']","['girl', 'outdoors.']","['Asian', 'snowy', 'forest.']","['girl', 'outdoors.']",classification,2
564,9697,9697,4890158457.jpg#0r1e,entailment,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,The small group stands outside on a stone street,"Small group of adults and children is a small group, and street implies outside.", A *small* *group* *of* *adults* *and* *children* stand on a cobblestone *street* outside of an Irish pub., The *small* *group* stands *outside* on a stone street,"Small group of adults and children is a small group, and cobblestone street is a type of stone street.", A *small* *group* *of* *adults* *and* *children* stand on a *cobblestone* *street* outside of an Irish pub., The *small* *group* stands outside on a *stone* *street*,The group stands on a stone street because they stand on a cobblestone street., A small group of adults and children *stand* on a *cobblestone* street outside of an Irish pub., The small group *stands* outside on a *stone* *street*,"['small', 'group', 'of', 'adults', 'and', 'children', 'street']","['small', 'group', 'outside']","['small', 'group', 'of', 'adults', 'and', 'children', 'cobblestone', 'street']","['small', 'group', 'stone', 'street']","['stand', 'cobblestone']","['stands', 'stone', 'street']",classification,2
574,9819,9819,2546667441.jpg#0r1e,entailment,Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing outside.,One must be outside to have green grass., Black dog with tan markings wearing a blue collar standing on *green* *grass.*, There is a dog standing *outside.*,Grass is only found outside., Black dog with tan markings wearing a blue collar standing on green *grass.*, There is a dog standing *outside.*,"Black dog with tan markings is a type of dog, and grass implies outside.", *Black* *dog* *with* *tan* *markings* wearing a blue collar standing on green *grass.*, There is a *dog* standing *outside.*,"['green', 'grass.']",['outside.'],['grass.'],['outside.'],"['Black', 'dog', 'with', 'tan', 'markings', 'grass.']","['dog', 'outside.']",classification,3
