Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
5284,5284,399054696.jpg#2r1e,entailment,3 people on plain boats smiling towards the camera.,3 smiling people on a boat,There are people smiling on a boat., 3 people on plain boats *smiling* towards the camera., 3 *smiling* *people* on a boat,"""People on boats smiling"" is the same idea as ""smiling people on a boat.""", 3 *people* on plain *boats* smiling towards the camera., 3 *smiling* people on a boat,"Smiling people are a type of people, and plain boats are a type of boat.", 3 *people* on *plain* *boats* smiling towards the camera., 3 *smiling* *people* on a *boat*,['smiling'],"['smiling', 'people']","['people', 'boats']",['smiling'],"['people', 'plain', 'boats']","['smiling', 'people', 'boat']",classification,3
5293,5293,3520050692.jpg#1r1e,entailment,"A young, well-dressed black man seated behind a drum set and smiling.",a man is smiling,A black man is a man.," A young, well-dressed *black* *man* seated behind a drum set and smiling.", a *man* is smiling,"A young, well-dressed black man is a type of man."," *A* *young,* *well-dressed* *black* *man* seated behind a drum set and smiling.", a *man* is smiling,The man behind the drum set is smiling.," A young, well-dressed black *man* seated behind a drum set and *smiling.*", a *man* is *smiling*,"['black', 'man']",['man'],"['A', 'young', 'well-dressed', 'black', 'man']",['man'],"['man', 'smiling.']","['man', 'smiling']",classification,2
5306,5306,2865725777.jpg#3r1e,entailment,A man looks intent while sculpting a gargoyle.,The man is working on art.,Sculpting is a way of working on art., A man looks intent while *sculpting* a gargoyle., The man is *working* *on* *art.*,When you're sculpting you're making art., A man looks intent while *sculpting* a gargoyle., The man is working on *art.*,Sculpting is a form of art., A man looks intent while *sculpting* a gargoyle., The man is working on *art.*,['sculpting'],"['working', 'on', 'art.']",['sculpting'],['art.'],['sculpting'],['art.'],classification,3
5318,5318,3663125350.jpg#4r1e,entailment,A man holding a yellow surfboard facing the ocean.,A man is holding a surfboard.,Holding a yellow surfboard is the same as holding a surfboard., A man *holding* a yellow *surfboard* facing the ocean., A man *is* *holding* a *surfboard.*,A MAN VIEW THE OCEAN WITH SURFBOARD, *A* *man* holding a yellow surfboard facing the *ocean.*, A man is holding a *surfboard.*,A yellow surfboard is a type of surfboard., A man holding a *yellow* *surfboard* facing the ocean., A man is holding a *surfboard.*,"['holding', 'surfboard']","['is', 'holding', 'surfboard.']","['A', 'man', 'ocean.']",['surfboard.'],"['yellow', 'surfboard']",['surfboard.'],classification,3
5356,5356,4650367147.jpg#1r1e,entailment,"Two young girls with long brunette hair, standing in front of a stone wall playing a game.",Two girls playing a game.,Two young girls are playing a game standing in front of a stone wall.," *Two* *young* *girls* with long brunette hair, *standing* *in* *front* *of* *a* *stone* *wall* playing a *game.*", *Two* *girls* playing a *game.*,Two young girls with long brunette hair are a type of two girls.," *Two* *young* *girls* *with* *long* *brunette* *hair,* standing in front of a stone wall playing a game.", *Two* *girls* playing a game.,Two girls are playing a game in front of a stone wall.," *Two* young *girls* with long brunette hair, standing in front of a stone wall *playing* a *game.*", *Two* *girls* *playing* a *game.*,"['Two', 'young', 'girls', 'standing', 'in', 'front', 'of', 'a', 'stone', 'wall', 'game.']","['Two', 'girls', 'game.']","['Two', 'young', 'girls', 'with', 'long', 'brunette', 'hair']","['Two', 'girls']","['Two', 'girls', 'playing', 'game.']","['Two', 'girls', 'playing', 'game.']",classification,2
5376,5376,3214573346.jpg#3r1e,entailment,White dog high jumping over some pillows.,The dog is jumping over pillows.,"Since only one dog is mentioned, 'the' is appropriate; high jumping is jumping; some pillows are pillows.", White dog *high* jumping over *some* pillows., *The* dog is jumping over pillows.,"White dog is a type of dog, and high jumping is a form of jumping.", *White* *dog* *high* *jumping* over some pillows., The *dog* is *jumping* over pillows.,High jumping is inferred as jumping., White dog *high* *jumping* over some pillows., The dog is *jumping* over pillows.,"['high', 'some']",['The'],"['White', 'dog', 'high', 'jumping']","['dog', 'jumping']","['high', 'jumping']",['jumping'],classification,2
5378,5378,89202781.jpg#0r1e,entailment,A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.,the lady is talking on her phne,Talking on her phne is a paraphrase of speaking on her cellphone., A lady with blue jeans and a brown shirt is *speaking* *on* *her* *cellphone* on the second floor of the mall., the lady is *talking* *on* *her* *phne*,"Lady with blue jeans is a type of lady, and speaking is talking.", A *lady* *with* *blue* *jeans* and a brown shirt is *speaking* on her cellphone on the second floor of the mall., the *lady* is *talking* on her phne,A lady speaking on her cellphone and talking on her phone are the same concept., A *lady* with blue jeans and a brown shirt is speaking on her *cellphone* on the second floor of the mall., the *lady* is talking on her *phne*,"['speaking', 'on', 'her', 'cellphone']","['talking', 'on', 'her', 'phne']","['lady', 'with', 'blue', 'jeans', 'speaking']","['lady', 'talking']","['lady', 'cellphone']","['lady', 'phne']",classification,2
5409,5409,3396817186.jpg#1r1e,entailment,a brown dog with a yellow toy in his mouth is jumping off the grassy ground,A dog is playing in the grass.,Jumping with a toy on grassy ground is a form of playing in the grass., a brown dog with a yellow *toy* in his mouth is *jumping* off the *grassy* *ground*, A dog is *playing* *in* *the* *grass.*,The dog is playing in the grass because he is jumping off of grassy ground., a brown dog with a yellow toy in his mouth is *jumping* *off* the *grassy* *ground*, A dog is *playing* *in* the *grass.*,A dog is playing with a toy in his mouth, a brown dog with a yellow *toy* in his *mouth* is jumping off the grassy ground, A *dog* is *playing* in the grass.,"['toy', 'jumping', 'grassy', 'ground']","['playing', 'in', 'the', 'grass.']","['jumping', 'off', 'grassy', 'ground']","['playing', 'in', 'grass.']","['toy', 'mouth']","['dog', 'playing']",classification,1
5425,5425,2412281172.jpg#0r1n,entailment,Young people and a kid are walking in the forest in a sunny day.,Young people and a kid are walking on a sunny day.,"If young people are walking in the forest on a sunny day, they have to be walking on a sunny day.", Young people and a kid are *walking* in the forest in a *sunny* *day.*, Young people and a kid are *walking* on a *sunny* *day.*,Walking in the forest is a type of walking., Young people and a kid are *walking* *in* *the* *forest* in a sunny day., Young people and a kid are *walking* on a sunny day.,"Both sentences say young people and a kid are walking, and both describe the day as sunny.", *Young* *people* *and* *a* *kid* are *walking* in the forest in a *sunny* *day.*, *Young* *people* *and* *a* *kid* are *walking* on a *sunny* *day.*,"['walking', 'sunny', 'day.']","['walking', 'sunny', 'day.']","['walking', 'in', 'the', 'forest']",['walking'],"['Young', 'people', 'and', 'a', 'kid', 'walking', 'sunny', 'day.']","['Young', 'people', 'and', 'a', 'kid', 'walking', 'sunny', 'day.']",classification,2
5480,5480,4262694145.jpg#0r1n,entailment,A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,A man and a woman are playing in the snow outside.,A man and woman playing in the snow can take the form of jumping in the snow., A young *woman* with brown hair and an elderly *man* with gray hair and a sweater *jump* in the air on a *snowy* hill with snowshoes on their feet., A *man* and a *woman* are *playing* in the *snow* outside.,The man and woman are wearing cold weather gear sweater and snowshoes, A young woman with brown hair and an elderly man with gray hair and a *sweater* jump in the air on a snowy hill with *snowshoes* on their feet., A man and a woman are playing in the snow outside.,The young man and woman are in the snowy hill so they are playing in the snow outside., A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a *snowy* *hill* with snowshoes on their feet., A *man* and a *woman* are *playing* in the *snow* *outside.*,"['woman', 'man', 'jump', 'snowy']","['man', 'woman', 'playing', 'snow']","['sweater', 'snowshoes']",[],"['snowy', 'hill']","['man', 'woman', 'playing', 'snow', 'outside.']",classification,1
5500,5500,5293641153.jpg#0r1e,entailment,A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks near the mountains.,Young man is a type of man., A *young* *man* wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background., A *man* is jumping over some rocks near the mountains.,large rocks with green mountains  is inferred as some rocks near the mountains., A young man wearing khaki pants and a checked shirt is jumping over *large* *rocks* *with* *green* *mountains* and a lagoon in the background., A man is jumping over *some* *rocks* *near* *the* *mountains.*,"If the mountains are in the background, it can be assumed they are near.", A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the *background.*, A man is jumping over some rocks *near* the *mountains.*,"['young', 'man']",['man'],"['large', 'rocks', 'with', 'green', 'mountains']","['some', 'rocks', 'near', 'the', 'mountains.']",['background.'],"['near', 'mountains.']",classification,1
5523,5523,7099257151.jpg#2r1e,entailment,A soccer team is standing on the field waiting for their time to make a move.,People are playing sports outside.,Soccer is a sport normally played outside on a field., A *soccer* team is standing on the *field* waiting for their time to make a move., People are playing *sports* *outside.*,People are playing sports outside as they are standing on the field., A soccer team is *standing* *on* *the* *field* waiting for their time to make a move., People are *playing* *sports* *outside.*,Soccer is a type of sport., *A* *soccer* *team* is standing on the field waiting for their time to make a move., People are playing *sports* outside.,"['soccer', 'field']","['sports', 'outside.']","['standing', 'on', 'the', 'field']","['playing', 'sports', 'outside.']","['A', 'soccer', 'team']",['sports'],classification,3
5553,5553,2310231104.jpg#2r1e,entailment,A four piece band plays a song on a medium-size stage.,A band is playing music on a stage.,Songs are a type of music, A four piece band plays a *song* on a medium-size stage., A band is playing *music* on a stage.,"If the band plays a song, that band is playing music.", A four piece *band* *plays* a *song* on a medium-size stage., A *band* is *playing* *music* on a stage.,A song is a form of music being played., A four piece band plays a *song* on a medium-size stage., A band is playing *music* on a stage.,['song'],['music'],"['band', 'plays', 'song']","['band', 'playing', 'music']",['song'],['music'],classification,"1,3"
5561,5561,2088052469.jpg#3r1e,entailment,Two men are dressed up as snowmen.,men are dressed up,Two men is a specific number of men., *Two* *men* are dressed up as snowmen., *men* are dressed up,Each men are dressed up is some kind of outfit., Two men are *dressed* *up* as snowmen., men are *dressed* *up*,"Two men are men, and dressed up as snowmen is a form of dressed up.", *Two* *men* are *dressed* *up* *as* *snowmen.*, *men* are *dressed* *up*,"['Two', 'men']",['men'],"['dressed', 'up']","['dressed', 'up']","['Two', 'men', 'dressed', 'up', 'as', 'snowmen.']","['men', 'dressed', 'up']",classification,"2,3"
5581,5581,2561212119.jpg#2r1e,entailment,A wet black lab with a red collar is standing in the water.,A wet dog is outside.,A lab standing in water would therefore mean a wet dog is outside., A wet black *lab* with a red collar is *standing* *in* the *water.*, A *wet* *dog* *is* *outside.*,A black lab is a type of dog, A wet *black* *lab* with a red collar is standing in the water., A wet *dog* is outside.,"A black lab, which is a type of dog, is standing in water, which indicates it is outside.", A *wet* *black* *lab* with a red collar is *standing* *in* *the* *water.*, A *wet* *dog* is *outside.*,"['lab', 'standing', 'in', 'water.']","['wet', 'dog', 'is', 'outside.']","['black', 'lab']",['dog'],"['wet', 'black', 'lab', 'standing', 'in', 'the', 'water.']","['wet', 'dog', 'outside.']",classification,"2,3"
5596,5596,3293751136.jpg#4r1e,entailment,Two people in coats kiss on the side of a road.,People show their appreciation for another.,Two people who kiss are people who show their appreciation for one another.  Kissing is a form of appreciation., *Two* *people* in coats *kiss* on the side of a road., *People* *show* *their* *appreciation* *for* *another.*,A kiss is a way to show appreciation for another., Two people in coats *kiss* on the side of a road., People *show* *their* *appreciation* for another.,people show their appreciation for another one who kiss on the road, Two *people* in coats *kiss* on the side of a road., People show their *appreciation* for *another.*,"['Two', 'people', 'kiss']","['People', 'show', 'their', 'appreciation', 'for', 'another.']",['kiss'],"['show', 'their', 'appreciation']","['people', 'kiss']","['appreciation', 'another.']",classification,1
5601,5601,3385956569.jpg#0r1e,entailment,A person in a red and tan coat is snowboarding off a hill of snow.,A person rides a snowboard.,A person is snowboarding., A *person* in a red and tan coat is *snowboarding* off a hill of snow., A *person* *rides* a *snowboard.*,"Person in a red and tan coat is a type of person, and rides a snowboard is a paraphrasing of snowboarding.", A *person* *in* *a* *red* *and* *tan* *coat* is *snowboarding* off a hill of snow., A *person* *rides* *a* *snowboard.*,A person snowboarding rides a snowboard., A person in a red and tan coat is *snowboarding* off a hill of snow., A person *rides* a *snowboard.*,"['person', 'snowboarding']","['person', 'rides', 'snowboard.']","['person', 'in', 'a', 'red', 'and', 'tan', 'coat', 'snowboarding']","['person', 'rides', 'a', 'snowboard.']",['snowboarding'],"['rides', 'snowboard.']",classification,2
5605,5605,3497069793.jpg#2r1e,entailment,A girl bounces in a bounce house.,A girl is bouncing around.,Bounces in a bounce house is a form of bouncing around., A girl *bounces* *in* *a* *bounce* *house.*, A girl is *bouncing* *around.*,There is both a girl bouncing around., A girl *bounces* in a bounce house., A girl is *bouncing* *around.*,"Girl is bouncing around because when one bounces, that is the same as saying on is bouncing around.", A *girl* *bounces* in a bounce house., A *girl* is *bouncing* *around.*,"['bounces', 'in', 'a', 'bounce', 'house.']","['bouncing', 'around.']",['bounces'],"['bouncing', 'around.']","['girl', 'bounces']","['girl', 'bouncing', 'around.']",classification,1
5613,5613,3614130083.jpg#2r1e,entailment,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,"When someone is smiling on camera, they'e smiling.", A young boy hanging on a pole *smiling* *at* the *camera.*, The young boy is *smiling.*,The boy is smiling for camera., A young *boy* hanging on a pole smiling at the camera., The young boy is *smiling.*,Smiling at the camera is a form of smiling., A young boy hanging on a pole *smiling* *at* *the* *camera.*, The young boy is *smiling.*,"['smiling', 'at', 'camera.']",['smiling.'],['boy'],['smiling.'],"['smiling', 'at', 'the', 'camera.']",['smiling.'],classification,3
5628,5628,3027421269.jpg#1r1e,entailment,A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child carrying a bag.,Carrying a bag on his head is a form of carrying a bag., A young african child in a dirty yellow shirt *carrying* *a* *bag* *on* *his* *head.*, A young African child *carrying* *a* *bag.*,Carrying a bag on head is a form of carrying a bag., A young african child in a dirty yellow shirt *carrying* *a* *bag* *on* his *head.*, A young African child *carrying* *a* *bag.*,young african child carrying a bag on his headmeans he is carrying a bag, A young african child in a dirty yellow shirt *carrying* a *bag* on *his* *head.*, A young African child *carrying* a *bag.*,"['carrying', 'a', 'bag', 'on', 'his', 'head.']","['carrying', 'a', 'bag.']","['carrying', 'a', 'bag', 'on', 'head.']","['carrying', 'a', 'bag.']","['carrying', 'bag', 'his', 'head.']","['carrying', 'bag.']",classification,"1,2"
5645,5645,264141937.jpg#0r1e,entailment,"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says 'Lucky' that is overflowing with cash.",The elaborately dressed woman stands around with her riches,A woman wearing dollar sign glasses is the elaborately dressed woman and suitcase that says 'Lucky' that is over flowing with cash represents her riches," A woman *wearing* *dollar* *sign* *glasses,* holding a dollar bill, stands with a *suitcase* that says *'Lucky'* that is overflowing with cash.", The *elaborately* *dressed* *woman* stands around with *her* *riches*,Overflowing with cash implies riches and elaborately dressed woman is a type of woman.," A *woman* wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says 'Lucky' that is *overflowing* *with* *cash.*", The *elaborately* *dressed* *woman* stands around with her *riches*,"If she stands a suitcase with case, she stands with her riches."," A woman wearing dollar sign glasses, holding a dollar bill, *stands* *with* a suitcase that says 'Lucky' that is overflowing with *cash.*", The elaborately dressed woman *stands* around *with* her *riches*,"['wearing', 'dollar', 'sign', 'glasses', 'suitcase', ""'Lucky'""]","['elaborately', 'dressed', 'woman', 'her', 'riches']","['woman', 'overflowing', 'with', 'cash.']","['elaborately', 'dressed', 'woman', 'riches']","['stands', 'with', 'cash.']","['stands', 'with', 'riches']",classification,2
5701,5701,3287383259.jpg#3r1e,entailment,A woman with red-hair staples some papers,The woman is working on papers.,A working woman staples papers., A *woman* with red-hair *staples* some papers, The woman is *working* on *papers.*,"If she staples the papers, that is a form of working on the papers.", A woman with red-hair *staples* some papers, The woman is *working* *on* papers.,"If a woman is stapling papers, it implies that she is working on them.", A *woman* with red-hair staples some *papers*, The *woman* is working on *papers.*,"['woman', 'staples']","['working', 'papers.']",['staples'],"['working', 'on']","['woman', 'papers']","['woman', 'papers.']",classification,2
5707,5707,6190299977.jpg#1r1n,entailment,A white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box.,A soccer player gets the interception.,A soccer player who makes an interception must have attempted it., A white-clad *soccer* *player* is *attempting* to *intercept* a soccer ball that is quickly approaching the goal box., A *soccer* *player* gets the *interception.*,"White-clad soccer player is a type of soccer player, and attempting to intercept is a rephrasing of gets the interception.", A *white-clad* *soccer* *player* is *attempting* *to* *intercept* a soccer ball that is quickly approaching the goal box., A *soccer* *player* *gets* *the* *interception.*,The person playing soccer intercepted the soccer ball., A white-clad *soccer* *player* is attempting to *intercept* a soccer *ball* that is quickly approaching the goal box., A *soccer* *player* gets the *interception.*,"['soccer', 'player', 'attempting', 'intercept']","['soccer', 'player', 'interception.']","['white-clad', 'soccer', 'player', 'attempting', 'to', 'intercept']","['soccer', 'player', 'gets', 'the', 'interception.']","['soccer', 'player', 'intercept', 'ball']","['soccer', 'player', 'interception.']",classification,2
5757,5757,2416964653.jpg#3r1e,entailment,Two young girls looking very concerned.,Their faces convey their feelings.,Looking very concerned is a form of convey their feelings., Two young girls *looking* *very* *concerned.*, Their faces *convey* *their* *feelings.*,Concerned is a form feelings., Two young girls looking very *concerned.*, Their faces convey their *feelings.*,""" Looking very concerned"" means that the girls' faces show, or convey, their feelings of concern.", Two young girls *looking* *very* *concerned.*, Their *faces* *convey* their *feelings.*,"['looking', 'very', 'concerned.']","['convey', 'their', 'feelings.']",['concerned.'],['feelings.'],"['looking', 'very', 'concerned.']","['faces', 'convey', 'feelings.']",classification,1
5758,5758,3426789838.jpg#3r1e,entailment,A child is thrown by a man in the swimming pool.,A child is thrown by a man in the pool.,"""In the swimming pool"" is a restatement of ""in the pool.""", A child is thrown by a man in the *swimming* *pool.*, A child is thrown by a man in the *pool.*,Swimming pool is a type of pool., A child is thrown by a man in the *swimming* *pool.*, A child is thrown by a man in the *pool.*,A pool is a rephrasing of swimming pool., A child is thrown by a man in the *swimming* pool., A child is thrown by a man in the *pool.*,"['swimming', 'pool.']",['pool.'],"['swimming', 'pool.']",['pool.'],['swimming'],['pool.'],classification,2
5771,5771,322628645.jpg#0r1e,entailment,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,Younger Asian boy is child.," An Asian woman in a purple shirt preparing a bowl of food for the *younger* *Asian* *boy* sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.", A woman is preparing food for a *child.*,"Asian woman is a type of woman, and younger Asian boy is a child."," An *Asian* *woman* in a purple shirt preparing a bowl of food for the *younger* *Asian* *boy* sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.", A *woman* is preparing food for a *child.*,The Asian woman is a woman and she prepared food for the younger Asian boy also called a child.," An *Asian* *woman* in a purple shirt *preparing* a bowl of *food* for the *younger* Asian *boy* sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.", A woman is preparing food for a child.,"['younger', 'Asian', 'boy']",['child.'],"['Asian', 'woman', 'younger', 'Asian', 'boy']","['woman', 'child.']","['Asian', 'woman', 'preparing', 'food', 'younger', 'boy']",[],classification,2
5776,5776,3485425825.jpg#2r1e,entailment,A man rides a bicycle while a young girl holds onto the back of him.,A man rides a bike.,Bicycle is another way to say bike., A man rides a *bicycle* while a young girl holds onto the back of him., A man rides a *bike.*,Bike is a short form of a bicycle., A man rides a *bicycle* while a young girl holds onto the back of him., A man rides a *bike.*,A man riding a Bike also means the bicycle here., A *man* *rides* a *bicycle* while a young girl holds onto the back of him., A *man* rides a *bike.*,['bicycle'],['bike.'],['bicycle'],['bike.'],"['man', 'rides', 'bicycle']","['man', 'bike.']",classification,2
5782,5782,3173928684.jpg#4r1e,entailment,two white dogs fighting with each other,The two dogs are having a brawl.,Brawl is another word for fight., two white dogs *fighting* with each other, The two dogs are having a *brawl.*,"Two white dogs are two dogs, and having a brawl is a form of fighting.", *two* *white* *dogs* *fighting* with each other, The *two* *dogs* are *having* *a* *brawl.*,when dogs fight they must have a brawl., two *white* dogs fighting with each other, The two dogs are having a *brawl.*,['fighting'],['brawl.'],"['two', 'white', 'dogs', 'fighting']","['two', 'dogs', 'having', 'a', 'brawl.']",['white'],['brawl.'],classification,2
5815,5815,4557545329.jpg#0r1e,entailment,"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.",A man is holding fluffy sweets.,The sticks of cotton candy are fluffy sweets.," A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has *many* *sticks* *of* *cotton* *candy.*", A man is holding *fluffy* *sweets.*,Cotton candy is a type of fluffy sweet.," A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of *cotton* *candy.*", A man is holding *fluffy* *sweets.*,Cotton candy is a fluffy sweet and the man has fluffy sweets.," A *man* in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who *has* many sticks of cotton candy.", A *man* is *holding* *fluffy* *sweets.*,"['many', 'sticks', 'of', 'cotton', 'candy.']","['fluffy', 'sweets.']","['cotton', 'candy.']","['fluffy', 'sweets.']","['man', 'has']","['man', 'holding', 'fluffy', 'sweets.']",classification,2
5840,5840,405698513.jpg#2r1n,entailment,"A young female gymnast, wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.",a gymnast has her leg straight up in the air.,The her indices that she is a female.," A young *female* gymnast, wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.", a gymnast has *her* leg straight up in the air.,"If a gymnast is described as lifting her right leg straight up in the air, this indicates that she 'has' her leg straight up in the air."," A young female *gymnast,* wearing a sequined royal blue and white outfit, *is* *lifting* *her* *right* *leg* *straight* *up* *in* *the* *air.*", a *gymnast* *has* *her* *leg* *straight* *up* *in* *the* *air.*,A young female gymnast is a type of gymnast.," A *young* *female* *gymnast,* wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.", a *gymnast* has her leg straight up in the air.,['female'],['her'],"['gymnast', 'is', 'lifting', 'her', 'right', 'leg', 'straight', 'up', 'in', 'the', 'air.']","['gymnast', 'has', 'her', 'leg', 'straight', 'up', 'in', 'the', 'air.']","['young', 'female', 'gymnast']",['gymnast'],classification,3
5846,5846,963730324.jpg#2r1n,entailment,A young boy attempts to push the Walmart shopping cart for a man.,a biy pushing a shopping cart.,A boy is pushing a shopping cart for another man in Walmart., A *young* *boy* *attempts* *to* *push* *the* Walmart *shopping* *cart* *for* *a* *man.*, a *biy* *pushing* *a* *shopping* *cart.*,"Young boy is a biy, and Walmart shopping cart is a type of cart.", A *young* *boy* attempts to push the *Walmart* *shopping* *cart* for a man., a *biy* pushing a shopping *cart.*,A young boy is pushing a shopping cart at Walmart for a man., A *young* *boy* attempts to push the *Walmart* shopping cart for a *man.*, a biy *pushing* a *shopping* *cart.*,"['young', 'boy', 'attempts', 'to', 'push', 'the', 'shopping', 'cart', 'for', 'a', 'man.']","['biy', 'pushing', 'a', 'shopping', 'cart.']","['young', 'boy', 'Walmart', 'shopping', 'cart']","['biy', 'cart.']","['young', 'boy', 'Walmart', 'man.']","['pushing', 'shopping', 'cart.']",classification,2
5850,5850,334052203.jpg#4r1e,entailment,A shirtless man with his fishing boat.,A man is with his boat.,"Shirtless man implies man, and fishing boat implies boat.", A *shirtless* *man* with his fishing boat., A *man* is with his boat.,A fishing boat is a form of a boat., A shirtless man with his *fishing* *boat.*, A man is with his *boat.*,A shirtless man is the same as a man and a boat is a boat., A *shirtless* *man* with his fishing *boat.*, A *man* is with his *boat.*,"['shirtless', 'man']",['man'],"['fishing', 'boat.']",['boat.'],"['shirtless', 'man', 'boat.']","['man', 'boat.']",classification,2
5856,5856,5921627737.jpg#1r1n,entailment,"Along a paved walkway outdoors, a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on.",A person takes a photo.,Photo of a multi-piece fish statue is a type of photo.," Along a paved walkway outdoors, a person in a black windbreaker takes a *photo* *of* *a* *multi-piece* *fish* *statue* while a small white dog looks on.", A person takes a *photo.*,A person who takes a photo of a statue takes a photo.," Along a paved walkway outdoors, a person in a black windbreaker *takes* *a* *photo* of a multi-piece fish *statue* while a small white dog looks on.", A person takes a photo.,A person takes a photo is part of the total description of a person in a black windbreaker.," Along a paved walkway outdoors, a *person* in a *black* *windbreaker* *takes* a *photo* of a multi-piece fish statue while a small white dog looks on.", A *person* takes a *photo.*,"['photo', 'of', 'a', 'multi-piece', 'fish', 'statue']",['photo.'],"['takes', 'a', 'photo', 'statue']",[],"['person', 'black', 'windbreaker', 'takes', 'photo']","['person', 'photo.']",classification,1
5868,5868,779266595.jpg#1r1e,entailment,Two men with graying beards share a laugh while enjoying the nice weather.,Men are laughing together on a nice day.,Two men are laughing and enjoying a nice weather day., *Two* *men* with graying beards share a laugh while *enjoying* the nice *weather.*, Men are *laughing* *together* on a *nice* *day.*,"Two men with graying beards are a type of men, and share a laugh is a paraphrase of laughing together.", *Two* *men* *with* *graying* *beards* *share* *a* *laugh* while enjoying the nice weather., *Men* are *laughing* *together* on a nice day.,share a laugh is inferred as share a laugh and nice weather and laughing together., Two men with graying beards *share* *a* *laugh* while enjoying the *nice* *weather.*, Men are *laughing* *together* on a nice day.,"['Two', 'men', 'enjoying', 'weather.']","['laughing', 'together', 'nice', 'day.']","['Two', 'men', 'with', 'graying', 'beards', 'share', 'a', 'laugh']","['Men', 'laughing', 'together']","['share', 'a', 'laugh', 'nice', 'weather.']","['laughing', 'together']",classification,2
5875,5875,3493399647.jpg#3r1e,entailment,Two adults hold either side of a boat at the edge of the water.,Two people are near water.,Two people travelling in boat on the water., Two adults hold either side of a *boat* at the edge of the *water.*, *Two* *people* are near water.,Adults are people., Two *adults* hold either side of a boat at the edge of the water., Two *people* are near water.,Adults are a type of people. One must be near water to be at the edge of the water., Two *adults* hold either side of a boat at the *edge* *of* *the* *water.*, Two *people* are *near* *water.*,"['boat', 'water.']","['Two', 'people']",['adults'],['people'],"['adults', 'edge', 'of', 'the', 'water.']","['people', 'near', 'water.']",classification,3
5886,5886,3246773992.jpg#2r1e,entailment,A girl in a costume is performing a dance as other girls in costumes watch.,A girl is dancing.,A girl performing a dance is dancing., A girl in a costume is *performing* *a* *dance* as other girls in costumes watch., A girl is *dancing.*,"If she is performing a dance, she is dancing.", A girl in a costume is *performing* *a* *dance* as other girls in costumes watch., A girl is *dancing.*,Dancing also a kind of performing., A girl in a costume is *performing* a dance as other girls in costumes watch., A girl is *dancing.*,"['performing', 'a', 'dance']",['dancing.'],"['performing', 'a', 'dance']",['dancing.'],['performing'],['dancing.'],classification,3
5887,5887,4783263491.jpg#0r1e,entailment,Women in a red hat and beige shoes standing with hands behind her back in front of a cement wall.,A person in a hat,Women is a form of person., *Women* in a red hat and beige shoes standing with hands behind her back in front of a cement wall., A *person* in a hat,A person in a hat is explained as  women in a red hat and beige shoes ., *Women* in a red hat and beige shoes standing with hands behind her back in front of a cement wall., A *person* in a hat,Either women and a person are the same., *Women* in a red hat and beige shoes standing with hands behind her back in front of a cement wall., *A* *person* in a hat,['Women'],['person'],['Women'],['person'],['Women'],"['A', 'person']",classification,1
