,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
2588,2588,4951686898.jpg#0r1e,entailment,A woman with tattoos and a black t-shirt smiles and talks to a man with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it.,A female and a male are talking to each other.,"The woman who is talking to a man is a female, and a man is a male.", A *woman* with tattoos and a black t-shirt smiles and talks to a *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., A *female* and a *male* are talking to each other.,The man and woman are talking to each other, *A* *woman* with tattoos and a black t-shirt smiles and *talks* *to* *a* *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., *A* *female* *and* *a* *male* *are* *talking* *to* *each* *other.*,"A woman is a type of female, while ""talking to each other"" is a rephrasing of ""talks to a man.""", A *woman* with tattoos and a black t-shirt smiles and *talks* *to* *a* *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., A *female* and a male are *talking* *to* *each* *other.*,"['woman', 'man']","['female', 'male']","['A woman', 'talks to a man']",['A female and a male are talking to each other'],"['woman', 'talks to a man']","['female', 'talking to each other']",classification
2591,2591,3643971203.jpg#4r1e,entailment,Two businessmen going to work.,Two men go to work.,Businessmen implies they are men, Two *businessmen* going to work., Two *men* go to work.,Businessmen are a type of men., Two *businessmen* going to work., Two *men* go to work.,The men go to work because they are going to work., Two businessmen *going* to *work.*, Two men *go* to *work.*,['businessmen'],['men'],['businessmen'],['men'],"['going', 'work']","['go', 'work']",classification
2603,2603,35505698.jpg#0r1e,entailment,A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat looks at them from the back.,A man stares at another man.,Looks at implies stares at., A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* *at* them from the back., A man *stares* *at* another man.,Stares is another way of saying looks., A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* at them from the back., A man *stares* at another man.,"Man with glasses is a type of man, and stares implies looks.", A *man* *with* *glasses* and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* at them from the back., A *man* *stares* at another man.,['looks at'],['stares at'],['looks'],['stares'],"['man with glasses', 'looks']",['man stares'],classification
2633,2633,463608562.jpg#4r1e,entailment,Man in red shirt about to have a barbecue,Person in red shirt about to have a barbecue,A man is a person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,Answer: Man is the person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,A man is a type of person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,['Man'],['Person'],['Man'],['Person'],['Man'],['Person'],classification
2670,2670,3181599388.jpg#1r1n,entailment,Two wrestlers jump in a ring while an official watches.,Two wrestlers were just tagged in on a tag team match.,both describe what wrestlers are doing, Two *wrestlers* jump in a ring while an official watches., Two *wrestlers* were just tagged in on a tag team match.,Tag team matches is a form of wrestling where competitors jump at each other., Two wrestlers *jump* in a ring while an official watches., Two wrestlers were just tagged in on a *tag* *team* *match.*,two wrestlers got into the ring after they were tagged and a referee watched them, *Two* wrestlers jump in a *ring* while an official watches., Two wrestlers were just *tagged* in on a tag team match.,['wrestlers'],['wrestlers'],['jump'],['tag team match'],"['Two', 'ring']",['tagged'],classification
2694,2694,4970845641.jpg#0r1e,entailment,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a person wears a backpack,"African American is a person, and red backpack is a type of backpack.", An *African* *American* wearing a *red* *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"An African American is a person. ""Wears a backpack"" restates ""wearing a red backpack.""", An *African* *American* *wearing* a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* *wears* a *backpack*,AFRICAN AMERICAN PERSON WEARING BACKPACK., An *African* *American* wearing a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"['African American', 'red backpack']","['person', 'backpack']","['African American wearing', 'backpack']","['person wears', 'backpack']","['African American', 'backpack']","['person', 'backpack']",classification
2710,2710,11610969.jpg#2r1e,entailment,People are shopping outside surrounded by a metal fence.,The people are shopping,The people are shopping is part of their description surrounded by a metal fence., *People* are shopping outside *surrounded* by a *metal* *fence.*, The *people* are *shopping*,The people is a rephrasing of people., *People* are shopping outside surrounded by a metal fence., *The* *people* are shopping,Shopping outside is a form of shopping., People are *shopping* *outside* surrounded by a metal fence., The people are *shopping*,"['People', 'surrounded', 'metal fence']","['people', 'shopping']",['People'],['The people'],['shopping outside'],['shopping'],classification
2719,2719,4637947642.jpg#4r1e,entailment,A man in a gray wife beater grilling.,The man is cooking.,Grilling is a form of cooking., A man in a gray wife beater *grilling.*, The man is *cooking.*,"Man in a gray wife beater is a type of man, and grilling implies cooking.", A *man* *in* *a* *gray* *wife* *beater* *grilling.*, The *man* is *cooking.*,A man grilling is a man who is cooking., A man in a gray wife beater *grilling.*, The man is *cooking.*,['grilling'],['cooking'],['man in a gray wife beater grilling'],"['man', 'cooking']",['grilling'],['cooking'],classification
2753,2753,166507476.jpg#1r1e,entailment,Two oriental lizards are fighting for dominance in a small pond,Two lizards are fighting for dominance in a small pond,Answer: Oriental means that the lizards are in the same pond., Two *oriental* lizards are fighting for dominance in a small pond, Two lizards are fighting for dominance *in* *a* *small* *pond*,Two oriental lizards are a type of two lizards., *Two* *oriental* *lizards* are fighting for dominance in a small pond, *Two* *lizards* are fighting for dominance in a small pond,The two lizards are oriental., Two *oriental* lizards are fighting for dominance in a small pond, Two *lizards* are fighting for dominance in a small pond,['oriental'],['in a small pond'],['Two oriental lizards'],['Two lizards'],['oriental'],['lizards'],classification
2766,2766,86800579.jpg#1r1e,entailment,A man is sitting beside a bunch of material while sewing.,A man is sewing.,Is sewing is a rephrasing of sewing., A man is sitting beside a bunch of material while *sewing.*, A man *is* *sewing.*,Answer: The man is sitting near a bunch of material., A man is *sitting* beside a *bunch* of *material* while sewing., A *man* is sewing.,Man sitting beside a bunch of material is a type of man., A *man* is *sitting* *beside* *a* *bunch* *of* *material* while sewing., A *man* is sewing.,['sewing'],['is sewing'],"['sitting', 'bunch', 'material']",['man'],"['man', 'sitting beside a bunch of material']",['man'],classification
2774,2774,4623878314.jpg#0r1e,entailment,A man in glasses and a striped shirt walks down the street with one hand in his pocket.,A man is walking somewhere,A man walks down the street must be walking somewhere., A man in glasses and a striped shirt *walks* *down* *the* *street* with one hand in his pocket., A man is *walking* *somewhere*,"Man in glasses is a type of man, and street is somewhere.", A *man* *in* *glasses* and a striped shirt walks down the *street* with one hand in his pocket., A *man* is walking *somewhere*,Walking down the street is a man in a striped shirt., A *man* in glasses and a striped shirt walks down the street with one hand in his pocket., A *man* is walking somewhere,['walks down the street'],['walking somewhere'],"['man in glasses', 'street']","['man', 'somewhere']",['man'],['man'],classification
2800,2800,5914778546.jpg#0r1e,entailment,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,A player is hoping to score a run.,A baseball player is a player who is sliding into home means hoping to score a run., A *baseball* *player* *sliding* *into* *home* as the opposing team's catcher awaits the baseball for the out., A *player* is *hoping* to *score* a *run.*,Sliding into home is the same as hoping to score., A baseball player *sliding* *into* *home* as the opposing team's catcher awaits the baseball for the out., A player is *hoping* *to* *score* a run.,"Baseball player is a type of player, and score a run implies baseball.", A *baseball* *player* sliding into home as the opposing team's catcher awaits the *baseball* for the out., A *player* is hoping to *score* *a* *run.*,['baseball player sliding into home'],"['player', 'hoping', 'score', 'run']",['sliding into home'],['hoping to score'],"['baseball player', 'baseball']","['player', 'score a run']",classification
2805,2805,2881441125.jpg#3r1e,entailment,Two small children are gathering water from a large container.,Two kids are getting water.,Two children getting water from a large container for their tomorrow's surplus!!!, *Two* small *children* are gathering water from a *large* *container.*, Two kids are *getting* *water.*,gathering water is another form of getting water, Two small children are *gathering* *water* from a large container., Two kids are *getting* *water.*,"Small children are kids, and getting means the same as gathering.", Two *small* *children* are *gathering* water from a large container., Two *kids* are *getting* water.,"['Two', 'children', 'large container']",['getting water'],['gathering water'],['getting water'],"['small children', 'gathering']","['kids', 'getting']",classification
2808,2808,5090324042.jpg#4r1e,entailment,A man is singing on stage with his fingers in a stuffed bear's nose.,A man is entertaining on stage by singing and putting his fingers in a stuffed animal.,Singing on stage is a form of entertaining on stage., A man is *singing* *on* *stage* with his fingers in a stuffed bear's nose., A man is *entertaining* *on* *stage* by singing and putting his fingers in a stuffed animal.,Singing is a form of entertaining. A stuffed bear's nose is the nose of a stuffed animal., A man is *singing* on stage with his fingers in a *stuffed* *bear's* nose., A man is *entertaining* on stage by singing and putting his fingers in a *stuffed* *animal.*,A man is singing and it is mentioned in both the sentences., A *man* is *singing* on stage with his fingers in a stuffed bear's nose., A *man* is entertaining on stage by *singing* and putting his fingers in a stuffed animal.,['singing on stage'],['entertaining on stage'],"['singing', 'stuffed bears']","['entertaining', 'stuffed animal']","['man', 'singing']","['man', 'singing']",classification
2856,2856,231178641.jpg#2r1e,entailment,Boy jumps in desert while others watch and take photo.,Someone is photographing a boy in motion.,"""Take photo"" is a rephrasing of photographing", Boy jumps in desert while others watch and *take* *photo.*, Someone is *photographing* a boy in motion.,Photographing the boy jumps in desert in motion., *Boy* *jumps* in *desert* while others watch and take photo., Someone is *photographing* a boy in *motion.*,A boy jumping is a type of motion., Boy *jumps* in desert while others watch and take photo., Someone is photographing a boy in *motion.*,['take photo'],['photographing'],"['Boy jumps', 'desert']","['photographing', 'motion']",['jumps'],['motion'],classification
2863,2863,2060904593.jpg#0r1e,entailment,"Three young men in blue jeans are gathered inside a wood-paneled room, one of them handling a crossbow.",three young men are gathered in a room made of wood panels while one holds a crossbow,Handling a crossbow implies the man is holds it.," Three young men in blue jeans are gathered inside a wood-paneled room, one of them *handling* *a* *crossbow.*", three young men are gathered in a room made of wood panels while one *holds* a crossbow,Three young men in blue jeans describes the clothing of the three young men.," *Three* *young* *men* *in* *blue* *jeans* are gathered inside a wood-paneled room, one of them handling a crossbow.", *three* *young* *men* are gathered in a room made of wood panels while one holds a crossbow,"Three young men in blue jeans are a type of three young men, and wood-paneled room is a rephrasing of room made of wood panels."," *Three* *young* *men* *in* *blue* *jeans* are gathered inside a *wood-paneled* *room,* one of them handling a crossbow.", *three* *young* *men* are gathered in a *room* *made* *of* *wood* *panels* while one holds a crossbow,['handling a crossbow'],['holds'],['Three young men in blue jeans'],['three young men'],"['Three young men in blue jeans', 'woodpaneled room']","['three young men', 'room made of wood panels']",classification
2868,2868,486738076.jpg#0r1e,entailment,"A middle-aged male wearing a baseball cap, a shirt inscribed orange county traders and white towel tucked under his belt and preparing a meal in hibachi style.",The man is cooking.,Preparing a meal is a form of cooking.," A middle-aged male wearing a baseball cap, a shirt inscribed orange county traders and white towel tucked under his belt and *preparing* *a* *meal* in hibachi style.", The man is *cooking.*,cooking is a rephrasing of preparing a meal.," A middle-aged male wearing a baseball cap, a shirt inscribed orange county traders and white towel tucked under his belt and *preparing* *a* *meal* in hibachi style.", The man is *cooking.*,Preparing a meal is the same as cooking.," A middle-aged male wearing a baseball cap, a shirt inscribed orange county traders and white towel tucked under his belt and *preparing* a *meal* in hibachi style.", The man is *cooking.*,['preparing a meal'],['cooking'],['preparing a meal'],['cooking'],"['preparing', 'meal']",['cooking'],classification
2878,2878,5759427006.jpg#1r1e,entailment,A small child in a coat looks out over the lake of a park in the fall.,A child is looking at the lake.,"""Looks out over"" is a rephrasing of ""is looking"".", A small child in a coat *looks* *out* *over* the lake of a park in the fall., A child *is* *looking* at the lake.,Looking at a lake is a form of looking out over a lake, A small child in a coat *looks* *out* *over* *the* *lake* of a park in the fall., A child is *looking* *at* *the* *lake.*,Looks and looking are the same but different tenses., A small child in a coat *looks* out over the lake of a park in the fall., A child is *looking* at the lake.,['looks out over'],['is looking'],['looks out over the lake'],['looking at the lake'],['looks'],['looking'],classification
2884,2884,3532200762.jpg#2r1e,entailment,A woman runs along a rocky shore.,A woman is running.,Runs along a rocky shore is a form of running., A woman *runs* *along* *a* *rocky* *shore.*, A woman is *running.*,Woman runs and woman running are synonymous as part of the total description., A *woman* *runs* along a rocky shore., A *woman* is *running.*,"""A woman is running"" is a rephrasing of ""A woman runs along a rocky shore"".", A *woman* *runs* along a rocky shore., A *woman* is *running.*,['runs along a rocky shore'],['running'],['woman runs'],"['woman', 'running']",['woman runs'],"['woman', 'running']",classification
2907,2907,3205754736.jpg#0r1e,entailment,A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement.,The man is holding something up.,Holding up a tablet is holding something up., A man in a red hat and blue jacket in a protest is *holding* *up* *a* *tablet* that talks about God and judgement., The man is *holding* *something* *up.*,The man can wear red hat and blue jacket and he is holding up a tablet, A man in a *red* *hat* and *blue* *jacket* in a protest is holding up a *tablet* that talks about God and judgement., The *man* is *holding* something up.,"Man in a red hat is a type of man, and tablet is something.", A *man* *in* *a* *red* *hat* and blue jacket in a protest is holding up a *tablet* that talks about God and judgement., The *man* is holding *something* up.,['holding up a tablet'],['holding something up'],"['red hat', 'blue jacket', 'tablet']","['man', 'holding']","['man in a red hat', 'tablet']","['man', 'something']",classification
2967,2967,2771214516.jpg#4r1e,entailment,A city street with people in front of a mountain back drop.,People are in a street.,City street with people is a rephrasing of people are in a street., A *city* *street* *with* *people* in front of a mountain back drop., *People* *are* *in* *a* *street.*,City street is a type of street., A *city* *street* with people in front of a mountain back drop., People are in a *street.*,A city street with people implies the people are in a street., A *city* *street* *with* *people* in front of a mountain back drop., People are *in* *a* *street.*,['city street with people'],['People are in a street'],['city street'],['street'],['city street with people'],['in a street'],classification
2991,2991,4343682191.jpg#1r1e,entailment,A woman in black framed glasses peruses a photo album while sitting in a red wicker chair.,There is a lady with a book.,A woman is also a lady and the book is the photo album., A *woman* in black framed glasses peruses a *photo* *album* while sitting in a red wicker chair., There is a *lady* with a *book.*,"Woman in black framed glasses is a type of lady, and photo album is a type of book.", A *woman* *in* *black* *framed* *glasses* peruses a *photo* *album* while sitting in a red wicker chair., There is a *lady* with a *book.*,The lady is looking through a photo album which is a type of book., A *woman* in black framed glasses peruses *a* *photo* *album* while sitting in a red wicker chair., There is a *lady* *with* *a* *book.*,"['woman', 'photo album']","['lady', 'book']","['woman in black framed glasses', 'photo album']","['lady', 'book']","['woman', 'a photo album']",['lady with a book'],classification
3023,3023,4440438333.jpg#1r1e,entailment,The pitcher wearing black heaves the ball toward the catcher.,People are playing a game.,"Pitcher and catcher are people, and heaves the ball is a form of playing a game.", The *pitcher* wearing black *heaves* *the* *ball* toward the *catcher.*, *People* are *playing* *a* *game.*,"A pitcher and catcher are names of positions in the game of baseball, so people are playing a game.", *The* *pitcher* wearing black *heaves* *the* *ball* *toward* *the* *catcher.*, *People* are *playing* *a* *game.*,Pitcher and catcher are people and baseball is a game., The *pitcher* wearing black heaves the *ball* toward the *catcher.*, *People* are playing a *game.*,"['pitcher', 'heaves the ball', 'catcher']","['People', 'playing a game']","['The pitcher', 'heaves the ball toward the catcher']","['People', 'playing a game']","['pitcher', 'ball', 'catcher']","['People', 'game']",classification
3037,3037,3381584882.jpg#3r1e,entailment,a snowboarder jumps over a barrel.,A snowboarder jumps.,"In order to go over a barrel, a snowboarder must jump.", a *snowboarder* *jumps* *over* a *barrel.*, A *snowboarder* *jumps.*,Jumps over a barrel is a form of jumps., a snowboarder *jumps* *over* *a* *barrel.*, A snowboarder *jumps.*,In both sentences a snowboarder jumps., *a* *snowboarder* *jumps* over a barrel., *A* *snowboarder* *jumps.*,"['snowboarder jumps over', 'barrel']",['snowboarder jumps'],['jumps over a barrel'],['jumps'],['a snowboarder jumps'],['A snowboarder jumps'],classification
3045,3045,3530502404.jpg#2r1e,entailment,Man in skeleton-printed leather outfit sitting astride a red motorcycle.,A man sits on a motorcycle.,A red motorcycle is a type of motorcycle., Man in skeleton-printed leather outfit sitting astride a *red* *motorcycle.*, A man sits on a *motorcycle.*,The motorcycle is red., Man in skeleton-printed leather outfit sitting astride a *red* motorcycle., A man sits on a *motorcycle.*,"Astride a red motorcycle is a rephrasing of sits on a motorcycle, and man in skeleton-printed leather is a type of man.", *Man* *in* *skeleton-printed* *leather* outfit sitting *astride* *a* *red* *motorcycle.*, A *man* *sits* *on* *a* *motorcycle.*,['red motorcycle'],['motorcycle'],['red'],['motorcycle'],"['Man in skeletonprinted leather', 'astride a red motorcycle']",['man sits on a motorcycle'],classification
3057,3057,5266194002.jpg#0r1e,entailment,A man in a blue t-shirt is watching two women sitting at a table in the kitchen baking.,A man watches two women cook,Baking implies cook., A man in a blue t-shirt is watching two women sitting at a table in the kitchen *baking.*, A man watches two women *cook*,BAKING IS A FORM OF COOKING, A man in a blue t-shirt is watching two women sitting at a table in the kitchen *baking.*, A man watches two women *cook*,Baking also a kind of cooking., A man in a blue t-shirt is watching two women sitting at a table in the kitchen *baking.*, A man watches two women cook,['baking'],['cook'],['baking'],['cook'],['baking'],[],classification
3071,3071,61372129.jpg#2r1e,entailment,"A man with a black hat, a pair of glasses, and a long white beard sits next to a painting of himself.",The man is sits next to a painting of himself.,Painting of himself implies long white beard.," A man with a black hat, a pair of glasses, and a *long* *white* *beard* sits next to a painting of himself.", The man is sits next to a *painting* *of* *himself.*,Man with a black hat is a type of man.," A *man* *with* *a* *black* *hat,* a pair of glasses, and a long white beard sits next to a painting of himself.", The *man* is sits next to a painting of himself.,"The modifiers in sentence one add details about the subject. The man in both sentences sits next to a painting of himself, only in sentence 2 we know less about his appearance."," A *man* with a black hat, a pair of glasses, and a long white beard sits next to a *painting* of *himself.*", *The* *man* is sits next to a *painting* *of* *himself.*,['long white beard'],['painting of himself'],['man with a black hat'],['man'],"['man', 'painting', 'himself']","['The man', 'painting of himself']",classification
3078,3078,98756067.jpg#1r1n,entailment,Two men practicing a form of martial arts in a wooden-floored studio.,Two men practicing martial arts,Two men practicing martial arts is less descript and does not include where they are practicing., *Two* *men* practicing a form of *martial* *arts* in a wooden-floored studio., *Two* *men* practicing *martial* *arts*,Two men practicing martial arts means the same as two men practicing a form of martial arts., *Two* *men* *practicing* *a* *form* *of* *martial* *arts* in a wooden-floored studio., *Two* *men* *practicing* *martial* *arts*,Sentence 1 is more descriptive in stating that the two men are practicing a FORM of martial arts in a wooden-floor studio.  Sentence 2 is more concise but explains the same thought., Two men *practicing* a form of *martial* *arts* in a wooden-floored *studio.*, Two men *practicing* *martial* *arts*,"['Two men', 'martial arts']","['Two men', 'martial arts']",['Two men practicing a form of martial arts'],['Two men practicing martial arts'],"['practicing', 'martial arts', 'studio']",['practicing martial arts'],classification
3083,3083,3613264553.jpg#4r1e,entailment,A white dog is walking on a rocky hillside.,A dog walks outside.,The dog on a rocky hillside is outside., A white dog is walking on a *rocky* *hillside.*, A dog walks *outside.*,"White dog is a type of dog, and rocky hillside implies outside.", A *white* *dog* is walking on a *rocky* *hillside.*, A *dog* walks *outside.*,"If the dog is on a hillside, he is also outside.", A white dog is walking on a rocky *hillside.*, A dog walks *outside.*,['rocky hillside'],['outside'],"['white dog', 'rocky hillside']","['dog', 'outside']",['hillside'],['outside'],classification
3095,3095,2905942129.jpg#4r1e,entailment,Two little kids laugh on a blue swing.,Two children are playing on the swings.,Kids are children., Two little *kids* laugh on a blue swing., Two *children* are playing on the swings.,"Two little kids are two children, and blue swing is a type of swings.", *Two* *little* *kids* laugh on a *blue* *swing.*, *Two* *children* are playing on the *swings.*,Two little children are playing on the blue swings., Two *little* kids laugh on a *blue* swing., *Two* *children* are *playing* on the *swings.*,['kids'],['children'],"['Two little kids', 'blue swing']","['Two children', 'swings']","['little', 'blue']","['Two children', 'playing', 'swings']",classification
3112,3112,538638526.jpg#0r1e,entailment,Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera.,A blond woman stands on a garbage can.,Blond woman wearing a red shirt is a type of blond woman., *Blond* *woman* *wearing* *a* *red* *shirt* and white pants stands on a garbage can as she holds a camera., A *blond* *woman* stands on a garbage can.,A woman hold a camera., Blond woman wearing a red shirt and white pants stands on a garbage can as she *holds* a *camera.*, A blond *woman* stands on a garbage can.,Blond woman wearing a red shirt is a type of blond woman., *Blond* *woman* *wearing* *a* *red* *shirt* and white pants stands on a garbage can as she holds a camera., A *blond* *woman* stands on a garbage can.,['Blond woman wearing a red shirt'],['blond woman'],"['holds', 'camera']",['woman'],['Blond woman wearing a red shirt'],['blond woman'],classification
3124,3124,2715155329.jpg#1r1e,entailment,A gentleman smiling and showing his reflective sunglasses.,A gentleman smiling and showing his reflective sunglasses to others.,Showing his reflective sunglasses to others is a form of showing., A gentleman smiling and *showing* his reflective sunglasses., A gentleman smiling and *showing* *his* *reflective* *sunglasses* *to* *others.*,"""A gentleman smiling and showing his reflective sunglasses"" restates ""A gentleman smiling and showing his reflective sunglasses.""", A *gentleman* *smiling* and *showing* his *reflective* *sunglasses.*, A *gentleman* *smiling* and *showing* his *reflective* *sunglasses* to others.,"Common subject (gentleman), verb (smiling, showing) and direct object (sunglasses).", A *gentleman* *smiling* and *showing* his reflective *sunglasses.*, A *gentleman* *smiling* and *showing* his reflective *sunglasses* to others.,['showing'],['showing his reflective sunglasses to others'],"['gentleman smiling', 'showing', 'reflective sunglasses']","['gentleman smiling', 'showing', 'reflective sunglasses']","['gentleman smiling', 'showing', 'sunglasses']","['gentleman smiling', 'showing', 'sunglasses']",classification
3158,3158,39494353.jpg#0r1e,entailment,A man wearing a plaid shirt and brown apron is standing in front of an open fire.,The fire is burning near the man.,In order for the fire to be burning near the man he needs to be standing near the fire., A *man* wearing a plaid shirt and brown apron is standing in front of an open *fire.*, The *fire* is *burning* near the *man.*,"Man wearing a plaid shirt is type of man, and open fire is a type of fire.", A *man* *wearing* *a* *plaid* *shirt* and brown apron is standing in front of an *open* *fire.*, The *fire* is burning near the *man.*,standing in front of an open fire is inferred as The fire is burning near the man., A man wearing a plaid shirt and brown apron is *standing* *in* *front* *of* *an* *open* *fire.*, The *fire* *is* *burning* *near* *the* *man.*,"['man', 'fire']","['fire', 'burning', 'man']","['man wearing a plaid shirt', 'open fire']","['fire', 'man']",['standing in front of an open fire'],['fire is burning near the man'],classification
3184,3184,3306464579.jpg#0r1e,entailment,A man with a tattoo on his left arm flips his food into the air with his frying pan.,a man using a frying pan,Answer; Flips into the air refers to using a frying pan, A man with a tattoo on his left arm *flips* his food *into* *the* *air* with his frying pan., a man *using* a *frying* *pan*,A man flips his food in frying pan., A man with a tattoo on his left arm *flips* *his* *food* into the air with his frying pan., a man using a *frying* *pan*,"Man with a tattoo is a type of man, and flips his food is a rephrasing of using a frying pan.", A *man* *with* *a* *tattoo* on his left arm *flips* *his* *food* into the air with his frying pan., a *man* *using* *a* *frying* *pan*,"['flips', 'into the air']","['using', 'frying pan']",['flips his food'],['frying pan'],"['man with a tattoo', 'flips his food']",['man using a frying pan'],classification
3186,3186,3306464579.jpg#2r1e,entailment,a man with a tattoo on his arm cooking something in a frying pan.,A man cooks food.,A man with a fish tattoo cooks fish food in the frying pan`, a *man* with a *tattoo* on his arm cooking something in a *frying* *pan.*, A man *cooks* *food.*,"A man with a tattoo is a man, and cooking food can be conveyed in the present tense 'cooks'.", a man with a tattoo on his arm *cooking* something in a frying pan., A man *cooks* food.,"Man with a tattoo on his arm is a type of man, and cooking something is a paraphrase of cooks food.", a *man* *with* *a* *tattoo* *on* *his* *arm* cooking something in a frying pan., A *man* cooks food.,"['man', 'tattoo', 'frying pan']",['cooks food'],['cooking'],['cooks'],['man with a tattoo on his arm'],['man'],classification
3189,3189,3486059684.jpg#1r1e,entailment,The restaurant employee is preparing sandwiches in the highly decorated kitchen.,A service worker is making food in a nice kitchen.,I restaurant employee is a type of service worker., The *restaurant* *employee* is preparing sandwiches in the highly decorated kitchen., A *service* *worker* is making food in a nice kitchen.,"Restaurant employee is a type of service worker, and preparing sandwiches is making food.", The *restaurant* *employee* is *preparing* *sandwiches* in the highly decorated kitchen., A *service* *worker* is *making* *food* in a nice kitchen.,Service worker is to employee as making food is to preparing sandwiches., The restaurant *employee* is *preparing* *sandwiches* in the highly decorated kitchen., A *service* *worker* is *making* *food* in a nice kitchen.,['restaurant employee'],['service worker'],"['restaurant employee', 'preparing sandwiches']","['service worker', 'making food']","['employee', 'preparing sandwiches']","['service worker', 'making food']",classification
3226,3226,5650197379.jpg#2r1e,entailment,A man in his skateboard jumping over a grocery cart as his friends in the back watch.,The man has friends.,Man in his skateboard is a type of man., A *man* *in* *his* *skateboard* jumping over a grocery cart as his friends in the back watch., The *man* has friends.,"Man in his skateboard is a type of man, and friends in the back are a type of friends.", A *man* *in* *his* *skateboard* jumping over a grocery cart as his *friends* *in* *the* *back* watch., The *man* has *friends.*,"A man is a man, and ""has friends"" is a rephrasing of ""his friends.", A *man* in his skateboard jumping over a grocery cart as *his* *friends* in the back watch., The *man* *has* *friends.*,['man in his skateboard'],['man'],"['man in his skateboard', 'friends in the back']","['man', 'friends']","['man', 'his friends']",['man has friends'],classification
3268,3268,2218743570.jpg#4r1n,entailment,A husky and a black cat nuzzling.,A dog and cat are friendly.,nuzzling refers to friendly, A husky and a black cat *nuzzling.*, A dog and cat are *friendly.*,"Husky is a kind of dog, and nuzzling implies are friendly.", A *husky* and a black cat *nuzzling.*, A *dog* and cat *are* *friendly.*,"A husky is a type of dog, and ""nuzzling"" is a friendly behavior between animals.", A *husky* and a black *cat* *nuzzling.*, A *dog* and *cat* are *friendly.*,['nuzzling'],['friendly'],"['husky', 'nuzzling']","['dog', 'are friendly']","['husky', 'cat nuzzling']","['dog', 'cat', 'friendly']",classification
3269,3269,2218743570.jpg#4r1e,entailment,A husky and a black cat nuzzling.,A dog and cat together.,A husky dog and black cat together., A *husky* and a *black* cat nuzzling., A *dog* and *cat* *together.*,"A husky is a dog, and nuzzling implies the cat and dog are together.", A *husky* and a black *cat* *nuzzling.*, A *dog* and *cat* *together.*,"Husky is a type of dog, and black cat is a type of cat.", A *husky* and a *black* *cat* nuzzling., A *dog* and *cat* together.,"['husky', 'black']","['dog', 'cat together']","['husky', 'cat nuzzling']","['dog', 'cat together']","['husky', 'black cat']","['dog', 'cat']",classification
3270,3270,7475756284.jpg#2r1e,entailment,A female acrobat wearing a red and white striped shirt and blue pants performs on a pole.,A female acrobat performs on a pole.,A female acrobat wearing a red and white striped shirt is a type of female acrobat., *A* *female* *acrobat* *wearing* *a* *red* *and* *white* *striped* *shirt* and blue pants performs on a pole., A *female* *acrobat* performs on a pole.,Female acrobat wearing a red and white striped shirt is a type of female acrobat., A *female* *acrobat* *wearing* *a* *red* *and* *white* *striped* *shirt* and blue pants performs on a pole., A *female* *acrobat* performs on a pole.,"An acrobat on a pole, performs on a pole.", A female *acrobat* wearing a red and white striped shirt and blue pants performs *on* a *pole.*, A female acrobat *performs* on a *pole.*,['A female acrobat wearing a red and white striped shirt'],['female acrobat'],['female acrobat wearing a red and white striped shirt'],['female acrobat'],"['acrobat', 'on', 'pole']","['performs', 'pole']",classification
